Index,Name,Year Opened,Region,Latitude,Longitude
1690,Dragoon Brewing Company,2012,Arizona,32.249208,-111.0058769
1691,Drake's Brewing Company,1989,California,37.8126375,-122.2664394
1692,Drake's Brewing Company,1989,California,37.7147545,-122.1782551
1693,Draper Brewing,2010,Oregon,43.105803,-123.537397
1694,Draught Works Brewery,2011,Montana,46.878022,-114.003556
1695,Dreadnought brewery,2015,Washington,47.8641495,-122.006176
1696,Dreaming Dog Brewery,2016,California,38.4078655,-121.4808853
1697,Drekker Brewing Company,2013,North Dakota,46.8766572,-96.7891831
1698,Drink Four Brewing Company,2006,Illinois,41.8935123,-87.6327453
1699,Drink Me Brewing,2017,Iowa,43.3995465,-95.7516373
1700,Drinking Horse Brewing Company,2015,Oregon,45.4089197,-122.5443199
1701,Drop In Brewing,2011,Vermont,44.000476,-73.149047
1702,Dru Bru,2014,Washington,47.4208853,-121.4130489
1703,Druid City Brewing Company,2012,Alabama,33.1997825,-87.5454054
1704,Drumconrath Brewing Company,2017,North Dakota,46.8812687,-97.0463047
1705,"Drumming Grouse Brewery, LLC",2017,Maine,43.9724586,-70.6849547
1706,Drunk Monkey Brew Werks,2012,Pennsylvania,40.5918644,-77.5789501
1707,Drunken Rabbit Brewing,2017,Massachusetts,42.2150281,-72.558688
1708,Dry County Brewing Company,2015,Georgia,34.021643,-84.5937303
1709,Dry County Brewing Company,2010,North Carolina,35.9156458,-82.0631016
1710,Dry Dock Brewing Company,2005,Colorado,39.756605,-104.773554
1711,Dry Dock Brewing Company,2005,Colorado,39.6526525,-104.8124366
1712,Dry Ground Brewing Co.,2014,Kentucky,37.0707067,-88.6375179
1713,Dry River Brewing,2017,California,34.0522342,-118.2436849
1714,Drydock Brewing Company,2015,Colorado,39.6526525,-104.8124366
1715,Dual Citizen Brewing Company,2018,Minnesota,44.9631668,-93.1978006
1716,Dubina Brewing Co.,2014,Arizona,33.639765,-112.2022065
1717,Dubious Claims Brewing,2018,Missouri,39.3393919,-94.225652
1718,Dublin Corners Farm Brewery,2016,New York,42.9005118,-77.8815275
1719,Dubrue,2011,Minnesota,46.7901822,-92.0980218
1720,Duck Foot Brewing Company,2015,California,32.8852235,-117.1561841
1721,DuClaw Brewing Company,1996,Maryland,38.945312,-76.73419
1722,DuClaw Brewing Company,1996,Maryland,39.4976844,-76.3312187
1723,DuClaw Brewing Company,1996,Maryland,39.162361,-76.725448
1724,DuClaw Brewing Company,1996,Maryland,39.18617,-76.673509
1725,DuClaw Brewing Company,1996,Maryland,39.3402079,-76.479151
1726,Due South Brewing Company,2012,Florida,26.5566386,-80.0745812
1727,Dueces Wild Brewery,2018,Colorado,38.8426963,-104.7016591
1728,Dukbone Brewing Co.,2012,North Carolina,35.2270869,-80.8431267
1729,Duncan's Abbey,2013,New York,41.0762077,-73.8587461
1730,Dundee Brewing Co.,1994,New York,43.1646,-77.61394
1731,Dunedin Brewery,1995,Florida,28.013997,-82.787635
1732,Dungeon Hollow Brewing Company,2017,Ohio,40.3224354,-80.8019777
1733,Dungeon Hollow Brewing Company,2017,Ohio,40.3591458,-80.7749031
1734,Dunluce Brewing,2014,Montana,47.1915937,-114.8917978
1735,Durango Brewing Company,1990,Colorado,37.297666,-107.871657
1736,Dust Bowl Brewing Company,2009,California,37.5065169,-120.8826756
1737,Dutch Girl Brewery,2015,Michigan,43.0732603,-86.159003
1738,Duvall Springs Brewing,2012,Washington,47.742507,-121.986253
1739,Duvall Springs Brewing,2012,Washington,47.7633437,-121.9553515
1740,DuVig Brewing Company,2014,Connecticut,41.3029689,-72.7678878
1741,Dwinell Country Ales,2017,Washington,45.8228013,-120.8249485
1742,Dyckman Beer Co.,2012,New York,40.7127837,-74.0059413
1743,Dynamo Brewing Company,2013,Indiana,41.5283693,-87.4236497
1744,EaDo Beerworks,2015,Texas,29.753611,-95.3442408
1745,Eagle Creek Brewing Company,2013,Georgia,32.448106,-81.779944
1746,Eagle Park Brewing Company,2017,Wisconsin,43.0542186,-87.9014127
1747,Eagle Rock Brewery,1950,California,34.1149935,-118.2433833
1748,EagleMonk Pub and Brewery,2012,Michigan,42.712118,-84.619521
1749,Earth Eagle Brewings,2012,New Hampshire,43.0782896,-70.7591122
1750,Earthen Ales,2016,Michigan,44.7552547,-85.6457389
1751,East Brother Beer Company,2016,California,37.917574,-122.375375
1752,East Cliff Brewing Company,2016,California,36.9631392,-121.9896799
1753,East End Brewing Company,2005,Pennsylvania,40.4475255,-79.9933976
1754,East End Brewing Company,2005,Pennsylvania,40.4591026,-79.9114833
1755,East Forty Brewing,2018,Missouri,39.0187341,-94.2792129
1756,East Island Brewing Co,2017,South Carolina,32.7791432,-79.9248669
1757,East Nashville Beer Works,2016,Tennessee,36.2051975,-86.7632311
1758,Eastern Front Brewing Co,2015,New York,40.9912115,-72.5342547
1759,Eastern Market Brewing Co,2017,Michigan,42.3467118,-83.0388018
1760,Eastern Shore Brewing Co,2008,Maryland,38.781363,-76.2222026
1761,Eastlake Craft Brewery,2014,Minnesota,44.9486757,-93.2607411
1762,Eastwood Brewing Company,2013,New York,43.0695943,-76.0985739
1763,EB Coffee & Pub,2013,Michigan,42.799005,-85.5084994
1764,Echo Brewing Company,2011,Colorado,40.1117501,-104.9454008
1765,Echo Brewing Company,2011,Colorado,40.0502698,-105.0474515
1766,Ecliptic Brewing,2013,Oregon,45.5473404,-122.6750989
1767,Eddyline Brewery,2009,Colorado,38.8405579,-106.1326201
1768,Eden Specialty Ciders,2007,Vermont,44.9361527,-72.2094772
1769,Edenton Brewing Company,2003,North Carolina,35.809712,-78.618223
1770,Edge Of The World Brewery,2018,Arizona,36.9914,-112.973571
1771,Edmund's Oast,2013,South Carolina,32.8172486,-79.9537193
1772,Edmund's Oast,2013,South Carolina,32.809804,-79.9479209
1773,Eel River Brewing Company,1995,California,40.485157,-124.104427
1774,Eel River Brewing Company,1995,California,40.57931,-124.153046
1775,Egan Brewing,1996,Wisconsin,44.4464993,-88.0693587
1776,Ei8ht Ball Brewing,2013,Kentucky,39.1001948,-84.4877355
1777,Eight & Sand Beer Co.,2016,New Jersey,39.8494944,-75.1424052
1778,Eight Bridges Brewing,2013,California,37.6989876,-121.8125673
1779,El Paso Brewing Company,2016,Texas,31.7622104,-106.4813992
1780,El Rancho Brewing,2015,Colorado,39.6997661,-105.3325677
1781,El Segundo Brewing Company,2011,California,33.917692,-118.415574
1782,El Toro Brewing Company,1992,California,37.1304557,-121.6546846
1783,Electric   Brewing Company,2013,California,33.5268045,-117.1737036
1784,Electric Brewing Co,1988,Arizona,31.39711,-109.930003
1785,Element Brewing Company‎,2005,Massachusetts,42.577947,-72.494568
1786,Elevate Your Passion Brewing,2017,Arizona,33.4280906,-111.9726497
1787,Elevation 66 Brewing Co,2011,California,37.9020438,-122.3031486
1788,Elevation Beer Company,2012,Colorado,38.5181954,-106.0654696
1789,Elevator Brewing Company,1999,Ohio,39.965682,-83.001838
1790,Elk Brewing,2014,Michigan,42.9554501,-85.6515277
1791,Elk Brewing,2014,Michigan,43.045054,-85.6587918
1792,Elk Mountain Brewing,2009,Colorado,39.5269964,-104.7700573
1793,Elk River Brewing Co.,2018,Maryland,39.60772,-75.8293592
1794,Elk Valley Brewing Co.,2013,Oklahoma,35.4728651,-97.6005357
1795,Elkhorn Slough Brewing Co.,2015,California,36.9275372,-121.7902702
1796,Ellicottville Brewing Company,1995,New York,42.2751607,-78.6708194
1797,Elliott Bay Brewery and Pub,1997,Washington,47.7203697,-122.2948289
1798,Elliott Bay Brewery and Pub,1997,Washington,47.4666592,-122.3388842
1799,Elliott Bay Brewery and Pub,1997,Washington,47.5604033,-122.3866565
1800,Elm City Brewing Company,1994,New Hampshire,42.9324075,-72.2867013
1801,Elmhurst Brewing Co,2018,Illinois,41.9023985,-87.9411585
1802,Eluvium Brewing Company,2017,North Carolina,35.6975495,-82.56102
1803,Elysian Brewing Company,1995,Washington,47.668918,-122.333473
1804,Elysian Brewing Company,1995,Washington,47.614033,-122.315716
1805,Embark Craft Ciderworks,2015,New York,43.2480819,-77.191073
1806,Emerald Coast Beer Co,2006,Alabama,33.5206608,-86.80249
1807,Emmett's Brewing Company,1999,Illinois,41.7925318,-88.0105302
1808,Emmett's Brewing Company,1999,Illinois,42.0982603,-88.2784071
1809,Emmett's Brewing Company,1999,Illinois,42.1128507,-88.0464561
1810,Empire Brewing Company,1994,New York,42.9201128,-75.8633437
1811,Empire Brewing Company,1994,New York,43.0481447,-76.1545978
1812,Empirical Brewery,2013,Illinois,41.9759731,-87.6750441
1813,Empyrean Brewing Company,1990,Nebraska,40.8158011,-96.7106424
1814,Enchanted Circle Brewing Company,2016,New Mexico,36.3969212,-105.2872936
1815,Endless Pint Brewing,2018,Ohio,40.2228467,-84.4836626
1816,Endo Brewing Company,2017,Colorado,40.0131102,-105.1315146
1817,Enegren Brewing Co,2011,California,34.2831073,-118.8709611
1818,Engrained Brewery & Restaurant,2013,Illinois,39.7487048,-89.6727903
1819,ENKI Brewing,2013,Minnesota,44.859896,-93.661494
1820,Enlightened Brewing Company,2013,Wisconsin,43.0071742,-87.9106623
